Station,Severity,Worst Window,Evidence,Problem Interpretation,Recommended Action,Priority Score
Balanagar,Persistent,Morning,Morning=0.16 | Midday=0.34 | Evening=1.38 | gap=-0.17,structural multimodal access deficit,prioritize new feeder service or route restructuring,9.155270837729416
KPHB Colony,Persistent,Morning,Morning=1.15 | Midday=1.15 | Evening=1.15 | gap=0.00,structural multimodal access deficit,prioritize new feeder service or route restructuring,8.447202275716224
Nampally,Persistent,Evening,Morning=1.41 | Midday=1.49 | Evening=1.16 | gap=-0.08,structural multimodal access deficit,prioritize new feeder service or route restructuring,8.174353405237628
Erragadda,Persistent,Evening,Morning=1.42 | Midday=1.80 | Evening=1.38 | gap=-0.38,structural multimodal access deficit,prioritize new feeder service or route restructuring,7.93489436159815
ESI Hospital,Persistent,Morning,Morning=1.44 | Midday=2.65 | Evening=2.34 | gap=-1.21,low scheduled feeder frequency,prioritize new feeder service or route restructuring,7.110663056776378
Miyapur,Persistent,Morning,Morning=1.60 | Midday=2.51 | Evening=2.55 | gap=-0.91,structural multimodal access deficit,prioritize new feeder service or route restructuring,7.007723084614922
S. R. Nagar,Persistent,Morning,Morning=1.63 | Midday=3.95 | Evening=3.06 | gap=-2.32,low scheduled feeder frequency,prioritize new feeder service or route restructuring,6.123128235257606
Assembly,Persistent,Evening,Morning=2.88 | Midday=3.25 | Evening=2.60 | gap=-0.37,low scheduled feeder frequency,prioritize new feeder service or route restructuring,6.083864376799335
Gandhi Bhavan,Persistent,Evening,Morning=3.59 | Midday=3.24 | Evening=2.48 | gap=0.36,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.8215118209253
JNTU College,Persistent,Morning,Morning=2.22 | Midday=3.71 | Evening=3.68 | gap=-1.49,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.682773333742139
Ameerpet,Persistent,Morning,Morning=2.94 | Midday=3.82 | Evening=3.73 | gap=-0.88,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.2895832200504245
Mahatma Gandhi Bus Station,Persistent,Evening,Morning=3.71 | Midday=3.76 | Evening=3.41 | gap=-0.05,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.113141729912465
Bharat Nagar,Persistent,Morning,Morning=3.15 | Midday=3.95 | Evening=3.88 | gap=-0.80,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.0739464824192915
Musarambagh,Partial,Evening,Morning=3.64 | Midday=4.57 | Evening=3.45 | gap=-0.93,low scheduled feeder frequency,targeted feeder stop augmentation,4.764311495979615
Dilsukh Nagar,Partial,Evening,Morning=4.15 | Midday=4.44 | Evening=3.15 | gap=-0.29,low scheduled feeder frequency,targeted feeder stop augmentation,4.7273588881028346
Erra Manzil,Partial,Morning,Morning=3.76 | Midday=4.53 | Evening=3.85 | gap=-0.77,low scheduled feeder frequency,targeted feeder stop augmentation,4.550107981458204
New Market,Partial,Morning,Morning=3.60 | Midday=5.19 | Evening=3.67 | gap=-1.59,low scheduled feeder frequency,targeted feeder stop augmentation,4.4045349648164205
Kukatpally,Partial,Morning,Morning=3.69 | Midday=3.92 | Evening=4.96 | gap=-0.23,time-window-specific access deficit,targeted feeder stop augmentation,4.35735491639825
Moosapet,Partial,Morning,Morning=3.02 | Midday=4.92 | Evening=4.92 | gap=-1.90,time-window-specific access deficit,targeted feeder stop augmentation,4.2271539558785065
Khairatabad,Partial,Evening,Morning=4.43 | Midday=4.71 | Evening=3.89 | gap=-0.28,time-window-specific access deficit,targeted feeder stop augmentation,4.147672034535424
Chaitanyapuri,Partial,Evening,Morning=5.06 | Midday=4.58 | Evening=3.74 | gap=0.47,time-window-specific access deficit,targeted feeder stop augmentation,3.993539982151307
Malakpet,None,Evening,Morning=4.68 | Midday=5.47 | Evening=4.25 | gap=-0.79,low scheduled feeder frequency,targeted feeder stop augmentation,3.5334135578810133
Panjagutta,None,Morning,Morning=4.46 | Midday=5.77 | Evening=5.06 | gap=-1.31,low scheduled feeder frequency,targeted feeder stop augmentation,3.130980879194518
Victoria Memorial,None,Evening,Morning=7.18 | Midday=6.31 | Evening=5.41 | gap=0.87,moderate connectivity imbalance,targeted feeder stop augmentation,1.5133175739356497
Osmania Medical College,None,Evening,Morning=7.43 | Midday=6.88 | Evening=6.06 | gap=0.55,moderate connectivity imbalance,targeted feeder stop augmentation,0.854646383107992
Lakdi-ka-pul,None,Evening,Morning=7.20 | Midday=7.21 | Evening=6.92 | gap=-0.01,moderate connectivity imbalance,targeted feeder stop augmentation,0.4222315989958003
L. B. Nagar,None,Evening,Morning=7.76 | Midday=7.39 | Evening=7.12 | gap=0.37,moderate connectivity imbalance,targeted feeder stop augmentation,1.3468171022879005e-09
