stop_name,desert_severity,worst_window,best_window,evidence,diagnosis,proposed_action,priority_score
Balanagar,Persistent,Morning,Evening,Morning=0.16 | Midday=0.34 | Evening=1.38 | gap=-0.17,structural multimodal access deficit,prioritize new feeder service or route restructuring,9.154253816356693
KPHB Colony,Persistent,Morning,Morning,Morning=1.15 | Midday=1.15 | Evening=1.15 | gap=0.00,structural multimodal access deficit,prioritize new feeder service or route restructuring,8.444167246730283
Nampally,Persistent,Evening,Midday,Morning=1.41 | Midday=1.50 | Evening=1.16 | gap=-0.08,structural multimodal access deficit,prioritize new feeder service or route restructuring,8.170933147855605
Erragadda,Persistent,Evening,Midday,Morning=1.42 | Midday=1.80 | Evening=1.38 | gap=-0.38,structural multimodal access deficit,prioritize new feeder service or route restructuring,7.931139390224679
Miyapur,Persistent,Morning,Midday,Morning=1.50 | Midday=2.21 | Evening=2.17 | gap=-0.70,structural multimodal access deficit,prioritize new feeder service or route restructuring,7.356594313072674
ESI Hospital,Persistent,Morning,Midday,Morning=1.44 | Midday=2.65 | Evening=2.34 | gap=-1.21,low scheduled feeder frequency,prioritize new feeder service or route restructuring,7.10609108642881
S. R. Nagar,Persistent,Morning,Midday,Morning=1.63 | Midday=3.95 | Evening=3.06 | gap=-2.32,low scheduled feeder frequency,prioritize new feeder service or route restructuring,6.117155867069077
Assembly,Persistent,Evening,Midday,Morning=2.88 | Midday=3.25 | Evening=2.60 | gap=-0.37,low scheduled feeder frequency,prioritize new feeder service or route restructuring,6.076318214223627
Gandhi Bhavan,Persistent,Evening,Morning,Morning=3.60 | Midday=3.24 | Evening=2.48 | gap=0.36,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.81421708463866
JNTU College,Persistent,Morning,Midday,Morning=2.23 | Midday=3.71 | Evening=3.68 | gap=-1.49,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.675316718830725
Ameerpet,Persistent,Morning,Midday,Morning=2.95 | Midday=3.82 | Evening=3.73 | gap=-0.88,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.282045164280451
Mahatma Gandhi Bus Station,Persistent,Evening,Midday,Morning=3.71 | Midday=3.77 | Evening=3.41 | gap=-0.05,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.104272139572514
Bharat Nagar,Persistent,Morning,Midday,Morning=3.15 | Midday=3.95 | Evening=3.88 | gap=-0.80,structural multimodal access deficit,prioritize new feeder service or route restructuring,5.066262266055581
Dilsukh Nagar,Partial,Evening,Midday,Morning=3.95 | Midday=4.19 | Evening=2.97 | gap=-0.24,low scheduled feeder frequency,targeted feeder stop augmentation,5.006672009694571
Musarambagh,Partial,Evening,Midday,Morning=3.64 | Midday=4.57 | Evening=3.46 | gap=-0.93,low scheduled feeder frequency,targeted feeder stop augmentation,4.7540059650553514
Erra Manzil,Partial,Morning,Midday,Morning=3.76 | Midday=4.53 | Evening=3.85 | gap=-0.77,low scheduled feeder frequency,targeted feeder stop augmentation,4.540653349226522
New Market,Partial,Morning,Midday,Morning=3.60 | Midday=5.19 | Evening=3.67 | gap=-1.59,low scheduled feeder frequency,targeted feeder stop augmentation,4.3944976518784005
Kukatpally,Partial,Morning,Evening,Morning=3.69 | Midday=3.92 | Evening=4.96 | gap=-0.23,time-window-specific access deficit,targeted feeder stop augmentation,4.349406183070357
Moosapet,Partial,Morning,Midday,Morning=3.02 | Midday=4.92 | Evening=4.92 | gap=-1.90,time-window-specific access deficit,targeted feeder stop augmentation,4.219125823154071
Khairatabad,Partial,Evening,Midday,Morning=4.44 | Midday=4.71 | Evening=3.89 | gap=-0.28,time-window-specific access deficit,targeted feeder stop augmentation,4.138790104701933
Chaitanyapuri,Partial,Evening,Morning,Morning=4.94 | Midday=4.47 | Evening=3.65 | gap=0.47,time-window-specific access deficit,targeted feeder stop augmentation,4.1310092488392876
Malakpet,None,Evening,Midday,Morning=4.68 | Midday=5.47 | Evening=4.26 | gap=-0.79,low scheduled feeder frequency,targeted feeder stop augmentation,3.521409472128042
Panjagutta,None,Morning,Midday,Morning=4.47 | Midday=5.77 | Evening=5.07 | gap=-1.31,low scheduled feeder frequency,targeted feeder stop augmentation,3.11963201448884
Victoria Memorial,None,Evening,Morning,Morning=7.19 | Midday=6.32 | Evening=5.41 | gap=0.87,moderate connectivity imbalance,targeted feeder stop augmentation,1.4982418813957388
Osmania Medical College,None,Evening,Morning,Morning=7.43 | Midday=6.89 | Evening=6.06 | gap=0.55,moderate connectivity imbalance,targeted feeder stop augmentation,0.8379576858530158
Lakdi-ka-pul,None,Evening,Midday,Morning=7.21 | Midday=7.22 | Evening=6.92 | gap=-0.01,moderate connectivity imbalance,targeted feeder stop augmentation,0.405202791934679
L. B. Nagar,None,Evening,Morning,Morning=7.76 | Midday=7.35 | Evening=7.13 | gap=0.41,moderate connectivity imbalance,targeted feeder stop augmentation,1.3484391381268779e-09
