stop_name,from_lmci,to_lmci,delta,from_window,to_window
Miyapur,1.6005648492909534,2.5134002353106926,0.9128353860197391,Morning,Midday
JNTU College,2.223501378504154,3.7130250726226164,1.4895236941184624,Morning,Midday
KPHB Colony,1.1529385324193728,1.1529385324193728,0.0,Morning,Midday
Kukatpally,3.6894392680935875,3.923697230501052,0.23425796240746433,Morning,Midday
Balanagar,0.16440758466990615,0.33675373134328385,0.1723461466733777,Morning,Midday
Moosapet,3.0216881811151937,4.918586358017755,1.8968981769025617,Morning,Midday
Bharat Nagar,3.147517579721975,3.949848779755566,0.8023312000335912,Morning,Midday
Erragadda,1.4215845779178329,1.79859668954922,0.37701211163138715,Morning,Midday
ESI Hospital,1.4401929967240283,2.6535446213012492,1.213351624577221,Morning,Midday
S. R. Nagar,1.6276815319224118,3.9450650872855073,2.3173835553630955,Morning,Midday
Ameerpet,2.9446515708076006,3.821478063705201,0.8768264928976004,Morning,Midday
Panjagutta,4.4632984736265255,5.772575434016568,1.3092769603900427,Morning,Midday
Erra Manzil,3.7587445627370997,4.529076300707945,0.770331737970845,Morning,Midday
Khairatabad,4.434933843185221,4.711535518380851,0.2766016751956295,Morning,Midday
Lakdi-ka-pul,7.204446535376448,7.214112339471315,0.00966580409486717,Morning,Midday
Assembly,2.878048231800132,3.2486081364164683,0.37055990461633614,Morning,Midday
Nampally,1.4099309066096974,1.4943429204690115,0.08441201385931407,Morning,Midday
Gandhi Bhavan,3.5943398272977882,3.23568365890516,-0.35865616839262815,Morning,Midday
Osmania Medical College,7.4296076100169985,6.884260542734922,-0.5453470672820764,Morning,Midday
Mahatma Gandhi Bus Station,3.7126226702657643,3.764538304508078,0.05191563424231349,Morning,Midday
Malakpet,4.679824362916042,5.471417948184686,0.791593585268644,Morning,Midday
New Market,3.6024586101118974,5.19110682191358,1.588648211801683,Morning,Midday
Musarambagh,3.6418853961532243,4.568025641821235,0.9261402456680106,Morning,Midday
Dilsukh Nagar,4.1508572823720815,4.442796587072504,0.2919393047004224,Morning,Midday
Chaitanyapuri,5.055202227241092,4.583927340486018,-0.471274886755074,Morning,Midday
Victoria Memorial,7.183728508821216,6.31380728162387,-0.869921227197346,Morning,Midday
L. B. Nagar,7.761668786804879,7.389687621147509,-0.3719811656573704,Morning,Midday
Miyapur,2.5134002353106926,2.5512520936519523,0.0378518583412597,Midday,Evening
JNTU College,3.7130250726226164,3.6799810286474752,-0.03304404397514116,Midday,Evening
KPHB Colony,1.1529385324193728,1.1529385324193728,0.0,Midday,Evening
Kukatpally,3.923697230501052,4.9557052247893125,1.0320079942882607,Midday,Evening
Balanagar,0.33675373134328385,1.3804504072831816,1.0436966759398978,Midday,Evening
Moosapet,4.918586358017755,4.918586358017755,0.0,Midday,Evening
Bharat Nagar,3.949848779755566,3.875286725389161,-0.07456205436640495,Midday,Evening
Erragadda,1.79859668954922,1.3797865714764312,-0.4188101180727888,Midday,Evening
ESI Hospital,2.6535446213012492,2.342183512375348,-0.3113611089259014,Midday,Evening
S. R. Nagar,3.9450650872855073,3.0628820391517158,-0.8821830481337916,Midday,Evening
Ameerpet,3.821478063705201,3.7261983572678488,-0.09527970643735229,Midday,Evening
Panjagutta,5.772575434016568,5.064683339029118,-0.7078920949874501,Midday,Evening
Erra Manzil,4.529076300707945,3.85166853836966,-0.6774077623382846,Midday,Evening
Khairatabad,4.711535518380851,3.889435399664418,-0.8221001187164325,Midday,Evening
Lakdi-ka-pul,7.214112339471315,6.915665289860718,-0.29844704961059687,Midday,Evening
Assembly,3.2486081364164683,2.596431489702744,-0.6521766467137242,Midday,Evening
Nampally,1.4943429204690115,1.1623053662659013,-0.3320375542031102,Midday,Evening
Gandhi Bhavan,3.23568365890516,2.4774477064203393,-0.7582359524848208,Midday,Evening
Osmania Medical College,6.884260542734922,6.057163590701493,-0.827096952033429,Midday,Evening
Mahatma Gandhi Bus Station,3.764538304508078,3.408185739631567,-0.3563525648765107,Midday,Evening
Malakpet,5.471417948184686,4.252906856065026,-1.2185110921196598,Midday,Evening
New Market,5.19110682191358,3.6701839893824184,-1.520922832531162,Midday,Evening
Musarambagh,4.568025641821235,3.4524457370804438,-1.115579904740791,Midday,Evening
Dilsukh Nagar,4.442796587072504,3.1510138560224354,-1.2917827310500685,Midday,Evening
Chaitanyapuri,4.583927340486018,3.7401002373815126,-0.8438271031045055,Midday,Evening
Victoria Memorial,6.31380728162387,5.40632340846451,-0.90748387315936,Midday,Evening
L. B. Nagar,7.389687621147509,7.123377401228384,-0.2663102199191245,Midday,Evening
Miyapur,1.6005648492909534,2.5512520936519523,0.9506872443609988,Morning,Evening
JNTU College,2.223501378504154,3.6799810286474752,1.4564796501433213,Morning,Evening
KPHB Colony,1.1529385324193728,1.1529385324193728,0.0,Morning,Evening
Kukatpally,3.6894392680935875,4.9557052247893125,1.266265956695725,Morning,Evening
Balanagar,0.16440758466990615,1.3804504072831816,1.2160428226132753,Morning,Evening
Moosapet,3.0216881811151937,4.918586358017755,1.8968981769025617,Morning,Evening
Bharat Nagar,3.147517579721975,3.875286725389161,0.7277691456671862,Morning,Evening
Erragadda,1.4215845779178329,1.3797865714764312,-0.041798006441401636,Morning,Evening
ESI Hospital,1.4401929967240283,2.342183512375348,0.9019905156513195,Morning,Evening
S. R. Nagar,1.6276815319224118,3.0628820391517158,1.435200507229304,Morning,Evening
Ameerpet,2.9446515708076006,3.7261983572678488,0.7815467864602481,Morning,Evening
Panjagutta,4.4632984736265255,5.064683339029118,0.6013848654025926,Morning,Evening
Erra Manzil,3.7587445627370997,3.85166853836966,0.09292397563256038,Morning,Evening
Khairatabad,4.434933843185221,3.889435399664418,-0.545498443520803,Morning,Evening
Lakdi-ka-pul,7.204446535376448,6.915665289860718,-0.2887812455157297,Morning,Evening
Assembly,2.878048231800132,2.596431489702744,-0.2816167420973881,Morning,Evening
Nampally,1.4099309066096974,1.1623053662659013,-0.24762554034379614,Morning,Evening
Gandhi Bhavan,3.5943398272977882,2.4774477064203393,-1.116892120877449,Morning,Evening
Osmania Medical College,7.4296076100169985,6.057163590701493,-1.3724440193155054,Morning,Evening
Mahatma Gandhi Bus Station,3.7126226702657643,3.408185739631567,-0.3044369306341972,Morning,Evening
Malakpet,4.679824362916042,4.252906856065026,-0.4269175068510158,Morning,Evening
New Market,3.6024586101118974,3.6701839893824184,0.06772537927052102,Morning,Evening
Musarambagh,3.6418853961532243,3.4524457370804438,-0.1894396590727805,Morning,Evening
Dilsukh Nagar,4.1508572823720815,3.1510138560224354,-0.9998434263496461,Morning,Evening
Chaitanyapuri,5.055202227241092,3.7401002373815126,-1.3151019898595795,Morning,Evening
Victoria Memorial,7.183728508821216,5.40632340846451,-1.777405100356706,Morning,Evening
L. B. Nagar,7.761668786804879,7.123377401228384,-0.6382913855764949,Morning,Evening
